1513435547.480174,8,8,r,166323 structure.c 595 DATA: Node 8, packet 15 sent; IPI 6000
1513435555.000591,8,8,r,173829 structure.c 595 DATA: Node 8, packet 16 sent; IPI 6000
1513435562.490325,8,8,r,181335 structure.c 595 DATA: Node 8, packet 17 sent; IPI 6000
1513435570.010607,8,8,r,188840 structure.c 595 DATA: Node 8, packet 18 sent; IPI 6000
1513435577.500325,8,8,r,196346 structure.c 595 DATA: Node 8, packet 19 sent; IPI 6000
1513435585.020817,8,8,r,203852 structure.c 595 DATA: Node 8, packet 20 sent; IPI 6000
1513435592.510669,8,8,r,211358 structure.c 595 DATA: Node 8, packet 21 sent; IPI 6000
1513435424.241513,28,28,r, 43047 structure.c 595 DATA: Node 28, packet 0 sent; IPI 9000
1513435434.739824,28,28,r, 53553 structure.c 595 DATA: Node 28, packet 1 sent; IPI 9000
1513435445.259422,28,28,r, 64059 structure.c 595 DATA: Node 28, packet 2 sent; IPI 9000
1513435455.749598,28,28,r, 74565 structure.c 595 DATA: Node 28, packet 3 sent; IPI 9000
1513435466.252959,28,28,r, 85071 structure.c 595 DATA: Node 28, packet 4 sent; IPI 9000
1513435476.759999,28,28,r, 95576 structure.c 595 DATA: Node 28, packet 5 sent; IPI 9000
1513435487.279894,28,28,r,106082 structure.c 595 DATA: Node 28, packet 6 sent; IPI 9000
1513435497.770687,28,28,r,116588 structure.c 595 DATA: Node 28, packet 7 sent; IPI 9000
1513435508.279788,28,28,r,127094 structure.c 595 DATA: Node 28, packet 8 sent; IPI 9000
1513435518.800400,28,28,r,137600 structure.c 595 DATA: Node 28, packet 9 sent; IPI 9000
1513435529.289637,28,28,r,148105 structure.c 595 DATA: Node 28, packet 10 sent; IPI 9000
1513435539.809951,28,28,r,158611 structure.c 595 DATA: Node 28, packet 11 sent; IPI 9000
1513435550.300029,28,28,r,169117 structure.c 595 DATA: Node 28, packet 12 sent; IPI 9000
1513435560.809571,28,28,r,179623 structure.c 595 DATA: Node 28, packet 13 sent; IPI 9000
1513435571.310663,28,28,r,190129 structure.c 595 DATA: Node 28, packet 14 sent; IPI 9000
1513435581.819947,28,28,r,200635 structure.c 595 DATA: Node 28, packet 15 sent; IPI 9000
1513435592.339418,28,28,r,211141 structure.c 595 DATA: Node 28, packet 16 sent; IPI 9000
1513435424.242259,31,31,r, 43018 structure.c 595 DATA: Node 31, packet 0 sent; IPI 5000
1513435430.240503,31,31,r, 49024 structure.c 595 DATA: Node 31, packet 1 sent; IPI 5000
1513435436.240936,31,31,r, 55030 structure.c 595 DATA: Node 31, packet 2 sent; IPI 5000
1513435442.250464,31,31,r, 61036 structure.c 595 DATA: Node 31, packet 3 sent; IPI 5000
1513435448.270400,31,31,r, 67041 structure.c 595 DATA: Node 31, packet 4 sent; IPI 5000
1513435454.260507,31,31,r, 73047 structure.c 595 DATA: Node 31, packet 5 sent; IPI 5000
1513435460.281923,31,31,r, 79053 structure.c 595 DATA: Node 31, packet 6 sent; IPI 5000
1513435466.270642,31,31,r, 85059 structure.c 595 DATA: Node 31, packet 7 sent; IPI 5000
1513435472.280680,31,31,r, 91065 structure.c 595 DATA: Node 31, packet 8 sent; IPI 5000
1513435478.300575,31,31,r, 97070 structure.c 595 DATA: Node 31, packet 9 sent; IPI 5000
1513435484.290375,31,31,r,103076 structure.c 595 DATA: Node 31, packet 10 sent; IPI 5000
1513435490.311323,31,31,r,109082 structure.c 595 DATA: Node 31, packet 11 sent; IPI 5000
1513435496.300760,31,31,r,115088 structure.c 595 DATA: Node 31, packet 12 sent; IPI 5000
1513435502.310832,31,31,r,121094 structure.c 595 DATA: Node 31, packet 13 sent; IPI 5000
1513435508.310844,31,31,r,127100 structure.c 595 DATA: Node 31, packet 14 sent; IPI 5000
1513435514.321768,31,31,r,133106 structure.c 595 DATA: Node 31, packet 15 sent; IPI 5000
1513435520.340514,31,31,r,139112 structure.c 595 DATA: Node 31, packet 16 sent; IPI 5000
1513435526.330368,31,31,r,145117 structure.c 595 DATA: Node 31, packet 17 sent; IPI 5000
1513435532.350789,31,31,r,151123 structure.c 595 DATA: Node 31, packet 18 sent; IPI 5000
1513435538.340651,31,31,r,157129 structure.c 595 DATA: Node 31, packet 19 sent; IPI 5000
1513435544.350570,31,31,r,163135 structure.c 595 DATA: Node 31, packet 20 sent; IPI 5000
1513435550.370724,31,31,r,169141 structure.c 595 DATA: Node 31, packet 21 sent; IPI 5000
1513435556.360716,31,31,r,175147 structure.c 595 DATA: Node 31, packet 22 sent; IPI 5000
1513435562.380599,31,31,r,181153 structure.c 595 DATA: Node 31, packet 23 sent; IPI 5000
