1513357238.899972,1,1,r, 69691 structure.c 398 DATA: Node 28, packet 0 received; ETE 58000
1513357243.132165,1,1,r, 73949 structure.c 398 DATA: Node 8, packet 0 received; ETE 58000
1513357243.160276,1,1,r, 73955 structure.c 398 DATA: Node 22, packet 2 received; ETE 59000
1513357246.351567,1,1,r, 77149 structure.c 398 DATA: Node 33, packet 1 received; ETE 57000
1513357246.351567,1,1,r, 77155 structure.c 398 DATA: Node 28, packet 3 received; ETE 58000
1513357246.351567,1,1,r, 77162 structure.c 398 DATA: Node 3, packet 0 received; ETE 54000
1513357250.611659,1,1,r, 81411 structure.c 398 DATA: Node 32, packet 2 received; ETE 52000
1513357250.611659,1,1,r, 81417 structure.c 398 DATA: Node 31, packet 2 received; ETE 53000
1513357254.862488,1,1,r, 85677 structure.c 398 DATA: Node 8, packet 2 received; ETE 58000
1513357254.890743,1,1,r, 85683 structure.c 398 DATA: Node 15, packet 2 received; ETE 54000
1513357254.890743,1,1,r, 85689 structure.c 398 DATA: Node 22, packet 3 received; ETE 59000
1513357257.000845,1,1,r, 87800 structure.c 398 DATA: Node 28, packet 4 received; ETE 58000
1513357261.273714,1,1,r, 92073 structure.c 398 DATA: Node 8, packet 3 received; ETE 58000
1513357261.273714,1,1,r, 92079 structure.c 398 DATA: Node 32, packet 3 received; ETE 52000
1513357261.273714,1,1,r, 92085 structure.c 398 DATA: Node 3, packet 1 received; ETE 54000
1513357261.273714,1,1,r, 92091 structure.c 398 DATA: Node 33, packet 2 received; ETE 57000
1513357265.511132,1,1,r, 96328 structure.c 398 DATA: Node 31, packet 3 received; ETE 53000
1513357267.660768,1,1,r, 98460 structure.c 398 DATA: Node 22, packet 4 received; ETE 59000
1513357269.800465,1,1,r,100599 structure.c 398 DATA: Node 28, packet 5 received; ETE 58000
1513357269.800465,1,1,r,100605 structure.c 398 DATA: Node 15, packet 3 received; ETE 54000
1513357272.990823,1,1,r,103790 structure.c 398 DATA: Node 8, packet 4 received; ETE 58000
1513357279.382194,1,1,r,110195 structure.c 398 DATA: Node 28, packet 6 received; ETE 58000
1513357279.411103,1,1,r,110201 structure.c 398 DATA: Node 22, packet 5 received; ETE 59000
1513357279.411103,1,1,r,110208 structure.c 398 DATA: Node 32, packet 4 received; ETE 52000
1513357279.411103,1,1,r,110214 structure.c 398 DATA: Node 31, packet 4 received; ETE 53000
1513357280.451097,1,1,r,111252 structure.c 398 DATA: Node 3, packet 2 received; ETE 54000
1513357282.570907,1,1,r,113384 structure.c 398 DATA: Node 8, packet 5 received; ETE 58000
1513357284.721178,1,1,r,115523 structure.c 398 DATA: Node 33, packet 3 received; ETE 57000
