flowID,src,dest,period[s],e2e_deadline[s],net_deadline[s],latency_bound[s],seqn,send_ts[s],rcv_ts[s],latency[s],slack[s],tightness[%]
3-1,3,1,16.0,54.0,9.59994,52.732796,0,23.464925050735474,34.118736028671265,10.653810977935791,43.34618902206421,20.20338723919701
3-1,3,1,16.0,54.0,9.59994,52.732796,1,39.97234511375427,49.04088306427002,9.068537950515747,44.93146204948425,17.197149854363396
3-1,3,1,16.0,54.0,9.59994,52.732796,2,56.462023973464966,68.21826601028442,11.756242036819458,42.24375796318054,22.29398577086536
3-1,3,1,16.0,54.0,9.59994,52.732796,3,72.98274302482605,85.26941299438477,12.286669969558716,41.713330030441284,23.299864413710807
3-1,3,1,16.0,54.0,9.59994,52.732796,4,89.47226095199585,101.25909209251404,11.786831140518188,42.21316885948181,22.351993511814143
3-1,3,1,16.0,54.0,9.59994,52.732796,5,105.98232007026672,117.27666306495667,11.294342994689941,42.70565700531006,21.418062100651635
3-1,3,1,16.0,54.0,9.59994,52.732796,6,122.50179505348206,132.1873860359192,9.685590982437134,44.314409017562866,18.36730027066483
3-1,3,1,16.0,54.0,9.59994,52.732796,7,138.99237394332886,149.22901606559753,10.236642122268677,43.76335787773132,19.41228779575556
3-1,3,1,16.0,54.0,9.59994,52.732796,8,155.51240801811218,165.21950101852417,9.707093000411987,44.29290699958801,18.40807568863215
3-1,3,1,16.0,54.0,9.59994,52.732796,9,172.00221705436707,181.20878100395203,9.206563949584961,44.79343605041504,17.45889588252624
3-1,3,1,16.0,54.0,9.59994,52.732796,10,188.5120770931244,197.22745609283447,8.715378999710083,45.28462100028992,16.527435791020988
3-1,3,1,16.0,54.0,9.59994,52.732796,11,205.01316595077515,212.12716698646545,7.114001035690308,46.88599896430969,13.490657760097355
3-1,3,1,16.0,54.0,9.59994,52.732796,12,221.52188897132874,227.03769993782043,5.515810966491699,48.4841890335083,10.459925103329812
3-1,3,1,16.0,54.0,9.59994,52.732796,13,238.04311108589172,243.04909801483154,5.005986928939819,48.99401307106018,9.493118720539337
3-1,3,1,16.0,54.0,9.59994,52.732796,14,254.5323610305786,257.95934295654297,3.4269819259643555,50.573018074035645,6.4987677231534535
3-1,3,1,16.0,54.0,9.59994,52.732796,15,271.0532250404358,273.9798810482025,2.9266560077667236,51.073343992233276,5.549973128234512
3-1,3,1,16.0,54.0,9.59994,52.732796,16,287.54239201545715,288.9017460346222,1.359354019165039,52.64064598083496,2.577815178176858
3-1,3,1,16.0,54.0,9.59994,52.732796,17,304.0523591041565,308.0792570114136,4.02689790725708,49.97310209274292,7.636420240749381
3-1,3,1,16.0,54.0,9.59994,52.732796,18,320.57240104675293,325.10773396492004,4.535332918167114,49.464667081832886,8.600592538592329
3-1,3,1,16.0,54.0,9.59994,52.732796,19,337.0623691082001,341.1091380119324,4.0467689037323,49.9532310962677,7.674102666075775
3-1,3,1,16.0,54.0,9.59994,52.732796,20,353.5824270248413,357.0989990234375,3.5165719985961914,50.48342800140381,6.668662133136638
3-1,3,1,16.0,54.0,9.59994,52.732796,21,370.07242798805237,389.07822704315186,19.005799055099487,34.99420094490051,36.04170553577225
3-1,3,1,16.0,54.0,9.59994,52.732796,22,386.5822410583496,,,,
3-1,3,1,16.0,54.0,9.59994,52.732796,23,403.0834970474243,405.0694890022278,1.9859919548034668,52.01400804519653,3.7661419561433207
3-1,3,1,16.0,54.0,9.59994,52.732796,24,419.5921199321747,434.9292550086975,15.337135076522827,38.66286492347717,29.084623308278264
3-1,3,1,16.0,54.0,9.59994,52.732796,25,436.1131360530853,451.989520072937,15.876384019851685,38.123615980148315,30.10722970170534
3-1,3,1,16.0,54.0,9.59994,52.732796,26,452.6023850440979,466.9090769290924,14.306691884994507,39.69330811500549,27.13053919043949
3-1,3,1,16.0,54.0,9.59994,52.732796,27,469.11216402053833,482.97657203674316,13.864408016204834,40.135591983795166,26.291812814561993
3-1,3,1,16.0,54.0,9.59994,52.732796,28,485.62170600891113,496.74376702308655,11.122061014175415,42.877938985824585,21.091354636639057
3-1,3,1,16.0,54.0,9.59994,52.732796,29,502.12227606773376,512.7480759620667,10.625799894332886,43.374200105667114,20.15026833459179
3-1,3,1,16.0,54.0,9.59994,52.732796,30,518.630047082901,528.7954199314117,10.165372848510742,43.83462715148926,19.277136089106182
3-1,3,1,16.0,54.0,9.59994,52.732796,31,535.1435849666595,547.917788028717,12.774203062057495,41.225796937942505,24.224399294240904
3-1,3,1,16.0,54.0,9.59994,52.732796,32,551.6422870159149,564.9695889949799,13.327301979064941,40.67269802093506,25.273270127881975
3-1,3,1,16.0,54.0,9.59994,52.732796,33,568.1655220985413,580.9593980312347,12.793875932693481,41.20612406730652,24.261706003022258
3-1,3,1,16.0,54.0,9.59994,52.732796,34,584.6522920131683,596.9779369831085,12.325644969940186,41.674355030059814,23.373774775644716
3-1,3,1,16.0,54.0,9.59994,52.732796,35,601.1721971035004,612.96702003479,11.794822931289673,42.20517706871033,22.36714876884145
3-1,3,1,16.0,54.0,9.59994,52.732796,36,617.6621770858765,626.8096489906311,9.147471904754639,44.85252809524536,17.34683650143383
3-1,3,1,16.0,54.0,9.59994,52.732796,37,634.1820750236511,644.9290080070496,10.746932983398438,43.25306701660156,20.37997944087478
3-1,3,1,16.0,54.0,9.59994,52.732796,38,650.6725959777832,660.9094700813293,10.236874103546143,43.76312589645386,19.412727714165097
3-1,3,1,16.0,54.0,9.59994,52.732796,39,667.1820709705353,675.8570070266724,8.674936056137085,45.325063943862915,16.450741690497665
3-1,3,1,16.0,54.0,9.59994,52.732796,40,683.7026870250702,691.8477900028229,8.145102977752686,45.854897022247314,15.445991101538947
3-1,3,1,16.0,54.0,9.59994,52.732796,41,700.1923151016235,708.8797860145569,8.68747091293335,45.31252908706665,16.47451220476409
3-1,3,1,16.0,54.0,9.59994,52.732796,42,716.713180065155,724.8692200183868,8.156039953231812,45.84396004676819,15.466731468651524
3-1,3,1,16.0,54.0,9.59994,52.732796,43,733.2023279666901,740.8593759536743,7.657047986984253,46.34295201301575,14.520466517618852
3-1,3,1,16.0,54.0,9.59994,52.732796,44,749.7123939990997,752.6014280319214,2.8890340328216553,51.110965967178345,5.478628580251377
3-1,3,1,16.0,54.0,9.59994,52.732796,45,766.2331891059875,767.5371251106262,1.3039360046386719,52.69606399536133,2.472723055759592
3-1,3,1,16.0,54.0,9.59994,52.732796,46,782.7224810123444,787.786819934845,5.06433892250061,48.93566107749939,9.60377470312898
3-1,3,1,16.0,54.0,9.59994,52.732796,47,799.2426869869232,804.8081750869751,5.56548810005188,48.43451189994812,10.554130488457087
3-1,3,1,16.0,54.0,9.59994,52.732796,48,815.7322630882263,819.7489120960236,4.016649007797241,49.98335099220276,7.616984708713797
3-1,3,1,16.0,54.0,9.59994,52.732796,49,832.2423260211945,836.827507019043,4.585180997848511,49.41481900215149,8.695122097922726
3-1,3,1,16.0,54.0,9.59994,52.732796,50,848.7626910209656,852.7987689971924,4.036077976226807,49.96392202377319,7.653828892795304
3-1,3,1,16.0,54.0,9.59994,52.732796,51,865.2522089481354,866.6581790447235,1.4059700965881348,52.594029903411865,2.6662157200769987
3-1,3,1,16.0,54.0,9.59994,52.732796,52,881.7726800441742,884.7791759967804,3.006495952606201,50.9935040473938,5.7013778533689
3-1,3,1,16.0,54.0,9.59994,52.732796,53,898.2623360157013,900.7593240737915,2.49698805809021,51.50301194190979,4.735170989397584
3-1,3,1,16.0,54.0,9.59994,52.732796,54,914.7722170352936,916.7587659358978,1.986548900604248,52.01345109939575,3.7671981220268465
3-1,3,1,16.0,54.0,9.59994,52.732796,55,931.272488117218,932.7671899795532,1.494701862335205,52.505298137664795,2.8344824771574886
3-1,3,1,16.0,54.0,9.59994,52.732796,56,947.7822649478912,962.6003799438477,14.818114995956421,39.18188500404358,28.10037798101284
3-1,3,1,16.0,54.0,9.59994,52.732796,57,964.302216053009,978.5896079540253,14.287391901016235,39.712608098983765,27.09393960641919
3-1,3,1,16.0,54.0,9.59994,52.732796,58,980.7922520637512,992.4287340641022,11.636482000350952,42.36351799964905,22.066878457100874
3-1,3,1,16.0,54.0,9.59994,52.732796,59,997.312735080719,1012.7170679569244,15.404332876205444,38.595667123794556,29.212054062533387
3-1,3,1,16.0,54.0,9.59994,52.732796,60,1013.802659034729,1027.6454210281372,13.842761993408203,40.1572380065918,26.250764312607664
3-1,3,1,16.0,54.0,9.59994,52.732796,61,1030.3120260238647,1043.6391339302063,13.327107906341553,40.67289209365845,25.272902097475647
3-1,3,1,16.0,54.0,9.59994,52.732796,62,1046.8325850963593,1059.5978009700775,12.765215873718262,41.23478412628174,24.20735641197228
3-1,3,1,16.0,54.0,9.59994,52.732796,63,1063.3220219612122,1075.6177439689636,12.295722007751465,41.704277992248535,23.317030274198743
3-1,3,1,16.0,54.0,9.59994,52.732796,64,1079.843533039093,1091.558247089386,11.714714050292969,42.28528594970703,22.21523404579755
3-1,3,1,16.0,54.0,9.59994,52.732796,65,1096.3324840068817,1107.5871720314026,11.254688024520874,42.745311975479126,21.342862275918147
3-1,3,1,16.0,54.0,9.59994,52.732796,66,1112.8422410488129,1122.4975349903107,9.655293941497803,44.3447060585022,18.30984638382877
3-1,3,1,16.0,54.0,9.59994,52.732796,67,1129.3722560405731,1137.3976531028748,8.025397062301636,45.974602937698364,15.218986420332492
3-1,3,1,16.0,54.0,9.59994,52.732796,68,1145.8521180152893,1156.6183290481567,10.766211032867432,43.23378896713257,20.416537429320893
3-1,3,1,16.0,54.0,9.59994,52.732796,69,1162.3720059394836,1172.601711988449,10.229706048965454,43.770293951034546,19.399134551798568
3-1,3,1,16.0,54.0,9.59994,52.732796,70,1178.8633959293365,1188.5888350009918,9.725439071655273,44.27456092834473,18.442866317301426
3-1,3,1,16.0,54.0,9.59994,52.732796,71,1195.3720729351044,1203.4982769489288,8.126204013824463,45.87379598617554,15.410151993124854
