flowID,src,dest,period[s],e2e_deadline[s],net_deadline[s],latency_bound[s],seqn,send_ts[s],rcv_ts[s],latency[s],slack[s],tightness[%]
3-1,3,1,4.0,57.0,3.19998,33.832836,0,13.844927072525024,23.420367002487183,9.575439929962158,47.42456007003784,28.302208924969097
3-1,3,1,4.0,57.0,3.19998,33.832836,1,18.353172063827515,,,,
3-1,3,1,4.0,57.0,3.19998,33.832836,2,22.842670917510986,26.61951208114624,3.776841163635254,53.223158836364746,11.163241425091453
3-1,3,1,4.0,57.0,3.19998,33.832836,3,27.363672971725464,30.905921936035156,3.5422489643096924,53.45775103569031,10.469855274058883
3-1,3,1,4.0,57.0,3.19998,33.832836,4,31.852783918380737,35.07979202270508,3.227008104324341,53.77299189567566,9.538095193451536
3-1,3,1,4.0,57.0,3.19998,33.832836,5,36.37400794029236,39.3583459854126,2.9843380451202393,54.01566195487976,8.820833243539617
3-1,3,1,4.0,57.0,3.19998,33.832836,6,40.863096952438354,42.5599250793457,1.6968281269073486,55.30317187309265,5.015329270379073
3-1,3,1,4.0,57.0,3.19998,33.832836,7,45.373045921325684,46.8098030090332,1.4367570877075195,55.56324291229248,4.246635096471131
3-1,3,1,4.0,57.0,3.19998,33.832836,8,49.9047429561615,51.06982898712158,1.165086030960083,55.83491396903992,3.4436546524213427
3-1,3,1,4.0,57.0,3.19998,33.832836,9,54.38265299797058,55.34832406044006,0.9656710624694824,56.03432893753052,2.8542421405923006
3-1,3,1,4.0,57.0,3.19998,33.832836,10,58.913711071014404,62.79813098907471,3.8844199180603027,53.1155800819397,11.481212860962358
3-1,3,1,4.0,57.0,3.19998,33.832836,11,63.3928279876709,67.07143998146057,3.678611993789673,53.32138800621033,10.872904635572592
3-1,3,1,4.0,57.0,3.19998,33.832836,12,67.92318201065063,71.30828595161438,3.385103940963745,53.614896059036255,10.005380397208633
3-1,3,1,4.0,57.0,3.19998,33.832836,13,72.40313792228699,74.53813099861145,2.134993076324463,54.86500692367554,6.310417123543716
3-1,3,1,4.0,57.0,3.19998,33.832836,14,76.91364097595215,78.78966498374939,1.8760240077972412,55.12397599220276,5.544980053688793
3-1,3,1,4.0,57.0,3.19998,33.832836,15,81.43297600746155,83.05067205429077,1.6176960468292236,55.382303953170776,4.78143791087813
3-1,3,1,4.0,57.0,3.19998,33.832836,16,85.92276000976562,87.32756900787354,1.4048089981079102,55.59519100189209,4.152205857374505
3-1,3,1,4.0,57.0,3.19998,33.832836,17,90.44367098808289,94.7798330783844,4.336162090301514,52.663837909698486,12.816431026655625
3-1,3,1,4.0,57.0,3.19998,33.832836,18,94.93284797668457,99.03840398788452,4.105556011199951,52.89444398880005,12.134826684939894
3-1,3,1,4.0,57.0,3.19998,33.832836,19,99.44291996955872,103.31776094436646,3.8748409748077393,53.12515902519226,11.452900297237097
3-1,3,1,4.0,57.0,3.19998,33.832836,20,103.94419598579407,106.5195689201355,2.5753729343414307,54.42462706565857,7.612051600821848
3-1,3,1,4.0,57.0,3.19998,33.832836,21,108.45283603668213,110.77815508842468,2.3253190517425537,54.674680948257446,6.8729652215455825
3-1,3,1,4.0,57.0,3.19998,33.832836,22,112.97305393218994,115.06947898864746,2.0964250564575195,54.90357494354248,6.196421300471292
3-1,3,1,4.0,57.0,3.19998,33.832836,23,117.46273398399353,119.30736899375916,1.844635009765625,55.155364990234375,5.452203326276358
3-1,3,1,4.0,57.0,3.19998,33.832836,24,121.9836859703064,126.76834297180176,4.784657001495361,52.21534299850464,14.142051235360114
3-1,3,1,4.0,57.0,3.19998,33.832836,25,126.47282791137695,131.02166104316711,4.548833131790161,52.45116686820984,13.445024625751625
3-1,3,1,4.0,57.0,3.19998,33.832836,26,130.9829649925232,135.268404006958,4.2854390144348145,52.714560985565186,12.666508401586004
3-1,3,1,4.0,57.0,3.19998,33.832836,27,135.50275993347168,138.49754691123962,2.9947869777679443,54.005213022232056,8.851717242290727
3-1,3,1,4.0,57.0,3.19998,33.832836,28,139.9928379058838,142.74826908111572,2.7554311752319336,54.244568824768066,8.144251268891361
3-1,3,1,4.0,57.0,3.19998,33.832836,29,144.51302790641785,151.28886198997498,6.775834083557129,50.22416591644287,20.027390206239666
3-1,3,1,4.0,57.0,3.19998,33.832836,30,149.0027859210968,,,,
3-1,3,1,4.0,57.0,3.19998,33.832836,31,153.51273608207703,154.48760795593262,0.9748718738555908,56.02512812614441,2.8814370567563143
3-1,3,1,4.0,57.0,3.19998,33.832836,32,158.01320600509644,158.74806308746338,0.7348570823669434,56.26514291763306,2.172023304126628
3-1,3,1,4.0,57.0,3.19998,33.832836,33,162.5225989818573,167.27748799324036,4.754889011383057,52.24511098861694,14.054065734788109
3-1,3,1,4.0,57.0,3.19998,33.832836,34,167.0431170463562,170.44967198371887,3.406554937362671,53.59344506263733,10.068783288999688
3-1,3,1,4.0,57.0,3.19998,33.832836,35,171.53254008293152,174.7383759021759,3.2058358192443848,53.794164180755615,9.475516091067226
3-1,3,1,4.0,57.0,3.19998,33.832836,36,176.05354690551758,178.98953795433044,2.935991048812866,54.064008951187134,8.677933616953856
3-1,3,1,4.0,57.0,3.19998,33.832836,37,180.54263305664062,183.26851391792297,2.7258808612823486,54.27411913871765,8.056909155597682
3-1,3,1,4.0,57.0,3.19998,33.832836,38,185.05285000801086,186.4673399925232,1.414489984512329,55.58551001548767,4.180820030908225
3-1,3,1,4.0,57.0,3.19998,33.832836,39,189.5729079246521,190.7277319431305,1.1548240184783936,55.845175981521606,3.41332313518853
3-1,3,1,4.0,57.0,3.19998,33.832836,40,194.0630099773407,194.98007202148438,0.9170620441436768,56.08293795585632,2.710568053306784
3-1,3,1,4.0,57.0,3.19998,33.832836,41,198.58291101455688,199.2581250667572,0.6752140522003174,56.32478594779968,1.995735894562068
3-1,3,1,4.0,57.0,3.19998,33.832836,42,203.0837230682373,206.688796043396,3.6050729751586914,53.39492702484131,10.655544735175884
3-1,3,1,4.0,57.0,3.19998,33.832836,43,207.59318494796753,210.97074699401855,3.3775620460510254,53.622437953948975,9.983088754519502
3-1,3,1,4.0,57.0,3.19998,33.832836,44,212.0830340385437,215.21828293800354,3.135248899459839,53.86475110054016,9.266881734241371
3-1,3,1,4.0,57.0,3.19998,33.832836,45,216.59276700019836,218.44854307174683,1.855776071548462,55.14422392845154,5.485133056975957
