# observer_id,node_id,mean_mA
32,32,0.000000
1,1,0.000000
3,3,0.000000
4,4,0.000000
6,6,0.000000
33,33,0.000000
8,8,0.000000
15,15,0.000000
22,22,0.000000
28,28,0.000000
31,31,0.000000
